State,Year,Month,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita
Nevada,2019,4,0.040154875,0.04964285714285714,10.446428571428571,47.17857142857143,0.16872889285714285,0.2625,5.732142857142857,2.8392857142857144,0.1721745357142857,0.6053571428571428,8.535714285714286,0.32142857142857145,9.933351464285716,24.31607142857143,9.321428571428571,22.5,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,5,0.042653125,0.05185714285714286,10.160714285714286,50.5,0.1540156607142857,0.21607142857142855,4.0,2.232142857142857,0.0821462857142857,0.3196428571428571,6.678571428571429,0.07142857142857142,8.182872696428571,19.057142857142857,9.196428571428571,17.535714285714285,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,6,0.04684761016949152,0.057779661016949146,9.728813559322035,63.59322033898305,0.1289783220338983,0.188135593220339,4.6440677966101696,1.9830508474576272,0.0738597288135593,0.4169491525423729,7.830508474576271,0.13559322033898305,7.963206389830509,20.379661016949154,10.067796610169491,18.677966101694917,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,7,0.04117118032786886,0.05163934426229508,8.852459016393443,50.967213114754095,0.1364740655737705,0.20327868852459016,4.622950819672131,2.1639344262295084,0.30982362295081967,0.8639344262295082,9.62295081967213,0.5573770491803278,8.227599426229508,20.981967213114757,8.278688524590164,19.311475409836067,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,8,0.04021969642857143,0.0545,9.375,56.035714285714285,0.19143471428571426,0.29464285714285715,4.160714285714286,3.3035714285714284,0.392053125,1.0125,8.714285714285714,0.6428571428571429,11.817779553571429,27.2,9.892857142857142,25.232142857142858,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,9,0.036962633333333335,0.048716666666666665,10.116666666666667,47.15,0.18755801666666666,0.29333333333333333,5.166666666666667,3.2,0.17515506666666666,0.59,8.4,0.2833333333333333,11.056045000000001,26.08,10.266666666666667,24.166666666666668,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,10,0.0255265,0.04054838709677419,10.274193548387096,37.79032258064516,0.34801967741935486,0.6322580645161291,8.64516129032258,7.17741935483871,0.3669223870967742,1.3580645161290323,9.46774193548387,1.3225806451612903,17.65229522580645,36.527419354838706,14.564516129032258,34.0,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,11,0.017771116666666663,0.030316666666666665,9.55,28.066666666666666,0.53305555,0.8866666666666667,8.15,10.116666666666667,0.6493565166666666,1.775,10.683333333333334,1.85,22.0579272,36.835,15.333333333333334,34.28333333333333,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
Nevada,2019,12,0.01620424324324324,0.024513513513513514,11.027027027027026,22.7027027027027,0.4784722162162163,0.7432432432432432,8.135135135135135,8.54054054054054,0.5201721891891892,1.4027027027027026,7.918918918918919,1.4594594594594594,19.165849324324324,30.705405405405404,12.216216216216216,28.513513513513512,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,1,0.028969347826086955,0.03391304347826087,13.434782608695652,31.26086956521739,0.1963768695652174,0.23043478260869565,3.739130434782609,2.347826086956522,0.592383,1.1217391304347826,10.130434782608695,0.6521739130434783,4.774023260869566,10.269565217391303,10.956521739130435,9.26086956521739,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,2,0.03700184,0.041159999999999995,13.16,38.2,0.17749995999999998,0.22400000000000003,3.16,2.32,0.22151723999999998,0.392,9.0,0.0,3.17209416,7.652,12.4,6.84,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,3,0.04299045161290323,0.0477741935483871,9.612903225806452,44.483870967741936,0.18252687096774192,0.2161290322580645,1.967741935483871,2.161290322580645,0.3128976451612903,0.49032258064516127,9.03225806451613,0.03225806451612903,3.076107677419355,7.187096774193549,8.580645161290322,6.387096774193548,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,4,0.038490222222222224,0.044111111111111115,10.11111111111111,40.77777777777778,0.155247,0.18518518518518517,3.2222222222222223,1.8518518518518519,0.3002359259259259,0.4703703703703703,8.814814814814815,0.07407407407407407,1.7875657037037038,4.303703703703704,10.703703703703704,3.925925925925926,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,5,0.03345968181818182,0.03977272727272727,9.863636363636363,36.81818181818182,0.13393495454545457,0.1590909090909091,1.8636363636363635,1.5909090909090908,0.3133616363636364,0.41818181818181815,11.772727272727273,0.0,1.6130695909090909,3.477272727272727,13.318181818181818,2.9545454545454546,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
New Hampshire,2019,6,0.032476450000000004,0.04095,10.35,38.35,0.13604175000000002,0.165,1.95,1.65,0.29254305,0.44000000000000006,9.6,0.05,1.6258734000000001,3.8950000000000005,11.45,3.45,0.020154738878143133,5.006208897485493,1.5655899419729207,1.4714893617021276,0.07303516441005803,153.75051450676983,0.008723404255319148,0.018017916827852996,0.004180225367504836,126.2660135976789
